className,gamesPlayed,wins,losses,winRate,kills_avg,kills_median,kills_max,deaths_avg,deaths_median,deaths_max,assists_avg,assists_median,assists_max,kda_avg,kda_median,kda_max,dmgDealtTotal_avg,dmgDealtTotal_median,dmgDealtTotal_max,dmgDealtToHeroes_avg,dmgDealtToHeroes_median,dmgDealtToHeroes_max,dmgTaken_avg,dmgTaken_median,dmgTaken_max,hpHealed_avg,hpHealed_median,hpHealed_max,dpsToHeroes_avg,dpsToHeroes_median,dpsToHeroes_max,hpsHealed_avg,hpsHealed_median,hpsHealed_max,maxBurst1s_avg,maxBurst1s_median,maxBurst1s_max,maxBurst3s_avg,maxBurst3s_median,maxBurst3s_max,spellCastsQ_avg,spellCastsQ_median,spellCastsQ_max,spellCastsE_avg,spellCastsE_median,spellCastsE_max,level_avg,level_median,level_max,gold_avg,gold_median,gold_max,totalGold_avg,totalGold_median,totalGold_max,goldPerMin_avg,goldPerMin_median,goldPerMin_max,timeAlive_avg,timeAlive_median,timeAlive_max,timeDead_avg,timeDead_median,timeDead_max,survivalRate_avg,survivalRate_median,survivalRate_max,killsPerMin_avg,killsPerMin_median,killsPerMin_max,dmgEfficiency_avg,dmgEfficiency_median,dmgEfficiency_max
Quiller,54,30,24,55.6,6.04,6,15,3.74,4,11,9.85,11,21,8.87,5.25,25,16804.98,16144,31443,9180.78,8872,17455,5237.7,5247,11594,500.35,498,965,31.23,30.9,48,1.71,1.7,3.9,287.74,292,355,563.07,570,818,41.72,41,64,24.8,24,38,10.39,10,14,159.59,163,359,3409.59,3361,5359,613.56,618,984,288.94,286,422,47.98,51,108,0.86,0.879,1,1.1,1.1,3.9,2.26,1.84,6.69
Wanderer,45,30,15,66.7,5.22,5,13,3.51,3,11,10.58,11,20,9.53,8.67,25,15985.84,16349,26874,10049.62,10166,17679,6276.93,5872,12653,365.2,377,745,34.54,36.6,51.4,1.25,1.3,2.2,653.31,637,985,1128.27,1118,1900,20.49,21,30,16.4,17,25,9.98,10,13,143.71,141,291,3232.04,3232,4880,600.09,618,895,282.8,294,400,44.38,30,155,0.88,0.893,1,0.97,1,2.8,1.79,1.8,4.01
Kratoma,51,33,18,64.7,6.04,6,16,3.45,2,8,11.14,13,23,10.19,8.67,30,14197.31,13568,30502,8526.43,8073,20470,6548.59,6358,11447,369.49,358,801,27.91,27.4,48.9,1.2,1.2,2.2,308.22,299,693,597.57,577,1397,23.22,23,36,22.82,22,37,10.37,10,13,159.22,168,356,3459.71,3424,5614,615.88,640,861,297.92,298,437,41.69,27,118,0.88,0.92,1,1.08,1.1,2.6,1.46,1.4,3.35
Cleric,73,43,30,58.9,2.59,2,8,3.34,4,8,12.32,15,27,9.52,5.75,29,8310.85,8290,20049,5500.88,5147,17179,6606.97,6261,19939,5190.53,5349,19103,18.24,17.9,29.6,16.26,16.6,34.4,307.73,312,423,363.4,369,497,43.9,45,108,35.7,38,79,9.9,10,13,182.37,188,373,3009.77,3196,4832,536.29,535,758,296.27,294,580,40.7,47,108,0.88,0.895,1,0.45,0.4,1.3,1.01,0.84,3.05
Doctor,57,38,19,66.7,2.7,2,8,3.23,2,10,12.32,14,24,9.44,8,25,5999.14,5460,18179,4587.82,4237,13402,7924.09,7535,21793,7194.72,7322,19689,15.25,15.2,26.5,23.53,25,48.7,207.53,192,493,299.19,274,589,19.28,19,40,18.88,18,49,9.54,10,13,159,166,391,2928.3,2895,5069,547.09,567,763,290.75,278,583,33.09,23,105,0.9,0.929,1,0.49,0.4,1.4,0.62,0.64,1.19
Oracle,36,24,12,66.7,5.56,5,15,3.31,2,10,11.36,13,19,10.96,10.5,24,14173.56,13617,33292,8428.86,8083,19344,6207.28,6030,12435,301.22,331,853,27.04,27.4,42.3,0.95,1,1.9,425.5,423,666,561.53,560,817,22.67,23,38,21.61,21,37,10.53,10,14,141.19,125,327,3413.42,3380,5548,603.44,635,847,305.78,305,457,39.11,28,121,0.89,0.927,1,0.99,0.9,2.9,1.78,1.63,5.72
Volstrov,31,15,16,48.4,4.06,3,13,4.45,6,8,8.55,8,18,7.34,2.2,25,12186.48,12148,19692,7317.23,8248,12608,6466.16,6404,10777,357.58,374,746,25.26,27.6,38.9,1.23,1.3,2.1,279.52,281,371,509.23,509,721,13.32,13,24,15.65,15,28,10.1,10,13,165.97,170,303,3067.58,3064,4424,549.55,513,790,282.45,291,368,52.9,53,115,0.85,0.817,1,0.73,0.6,2.6,1.29,1.24,2.49
Vanguard,57,14,43,24.6,3.11,2,11,4.21,5,8,7.79,6,23,4.4,1.6,21,11836.3,11441,25602,5979.25,5932,13045,9484.16,9237,15731,75.61,0,546,18.84,19.5,36.2,0.21,0,1.2,462.04,452,803,604.26,584,957,46.16,44,84,28.33,28,45,9.61,10,13,175.91,177,369,2926.35,2857,4774,490.35,465,836,304.11,302,450,51.98,52,119,0.86,0.831,1,0.5,0.4,2.2,0.65,0.54,1.46
Summoner,33,19,14,57.6,3.82,4,9,3.7,4,9,11,11,20,8.51,6.25,26,7729,7311,12121,4489.7,4438,7251,5068.82,5614,9600,208.76,205,359,15.87,15.4,25.4,0.73,0.7,1.2,190.24,198,235,268.24,271,316,42.24,42,63,20.82,21,34,9.82,10,13,130.64,125,344,3057.15,3045,4735,575.12,590,805,280.36,264,407,44.24,51,119,0.87,0.875,1,0.75,0.6,2,1.25,1.08,3.96
Healer,51,24,27,47.1,2.55,3,8,3.49,4,7,10.92,13,25,9.37,3,25,6900.02,6486,13151,4636.29,4463,8697,6921.39,7575,12452,4567.33,3890,12420,16.38,16.6,22.9,15.49,14.2,36.5,151.57,152,193,205.75,204,304,43.08,42,79,15.02,15,28,9.43,9,13,121.98,108,331,2837.67,2945,4663,535,504,821,278.02,262,451,39.9,53,89,0.87,0.844,1,0.48,0.5,1.6,0.89,0.57,2.51
Zephyr,37,12,25,32.4,2.51,1,9,4.35,5,9,6.59,6,20,4.63,1.2,22,8640.92,8634,19111,4901.7,4807,9922,7258.22,6989,11493,239.22,212,571,17.13,16.9,27.5,0.85,0.8,1.8,378.95,381,645,501.03,496,833,31.68,29,60,29.11,29,60,9.03,9,13,151.3,148,427,2649.95,2651,4889,480.14,433,815,278.95,266,484,52,55,107,0.84,0.826,1,0.46,0.3,1.9,0.74,0.59,2.02
Fusilier,39,25,14,64.1,6.87,6,20,4.1,4,10,9.59,12,20,8.68,4.83,26,18370.79,16710,35435,10545.03,9943,20435,5530.38,5863,9661,479.28,473,997,35.61,33.9,53.3,1.6,1.6,3.1,407.36,395,543,713.59,720,994,45.31,45,77,15.33,15,24,10.51,10,14,126.92,104,340,3503.85,3606,5639,626.21,585,982,291.49,283,488,47.92,48,103,0.86,0.885,1,1.26,1,4.3,2.35,2.4,6.52
Mage,34,13,21,38.2,4.82,4,17,4.53,6,9,8.85,10,19,8.59,2.67,28,15725.65,14274,34310,9035.71,8750,23630,6242,6671,13489,339.65,343,709,30.56,30.9,45.1,1.16,1.2,2,582.59,568,908,736.12,708,1123,59.97,59,125,21.5,20,45,10.09,10,14,151.68,158,280,3193.59,3111,5436,565.12,528,860,282.47,273,524,57.47,73,119,0.83,0.778,1,0.83,0.7,2.9,1.84,1.33,5.04
Tamer,32,19,13,59.4,6.31,6,17,4.47,5,9,10.28,11,20,8.91,4.5,26,15191.41,15188,31096,9624.44,10321,19398,5868.47,5955,9271,3373,3398,9094,33.17,34,55.1,11.64,12.2,21.7,332.38,323,479,560.5,545,891,36.81,36,60,12.78,13,27,10.59,11,15,149.38,159,424,3461.88,3659,5863,622.44,628,850,281.63,283,420,55.72,49,134,0.85,0.866,1,1.14,1,3.3,2.03,1.65,6.28
